source_id,target_id,year
96081,96002,2010
2468376,2466309,2013
91744,90636,2010
100006,99765,2010
94116,89143,2010
94116,92774,2010
105654,103276,2010
105654,103902,2010
102191,101440,2010
111247,108898,2010
111247,110143,2010
111247,110933,2010
112892,104438,2010
112892,104638,2010
112892,112559,2010
98836,94073,2010
108066,91573,2010
108066,96424,2010
108066,97691,2010
108066,100991,2010
108066,104585,2010
108066,107740,2010
108066,1383588,2010
100456,92850,2010
100456,96936,2010
107393,104212,2010
104415,100928,2010
104415,104301,2010
118436,112128,2010
206187,96405,2011
206187,109118,2011
206187,110712,2011
206187,111293,2011
206187,111381,2011
206187,112083,2011
206187,112344,2011
206187,112738,2011
100905,91207,2010
101617,95511,2010
101617,100284,2010
95707,93597,2010
118066,108800,2010
118066,109860,2010
118066,110636,2010
118066,111093,2010
118066,111378,2010
118066,112095,2010
118066,112631,2010
96828,90564,2010
106078,91894,2010
106078,94399,2010
106078,96424,2010
106078,98071,2010
106078,100010,2010
106078,102037,2010
106078,104788,2010
106078,105121,2010
106078,105930,2010
103780,103734,2010
104045,97014,2010
104045,100178,2010
104045,100753,2010
104045,100856,2010
104045,102826,2010
1751,96405,2010
1751,110374,2010
109677,101354,2010
109677,108660,2010
101247,99987,2010
90505,90338,2010
1087619,90460,2013
1087619,92353,2013
112484,109965,2010
112484,110102,2010
112484,110247,2010
112484,110437,2010
112484,110548,2010
112484,111114,2010
118089,109499,2010
106097,100179,2010
106097,104300,2010
104550,101246,2010
104550,103352,2010
104550,104316,2010
104550,1292673,2010
103295,102484,2010
95212,92755,2010
110143,90749,2010
110143,91772,2010
110143,95992,2010
110143,98441,2010
110143,101031,2010
110143,102407,2010
110143,104478,2010
110143,104614,2010
110143,107238,2010
110143,108027,2010
110143,108266,2010
110143,108772,2010
110143,108800,2010
110143,108898,2010
110143,109499,2010
109698,100929,2010
109698,101251,2010
109698,103846,2010
109698,105194,2010
108820,105383,2010
801976,96405,2012
801976,104272,2012
801976,107717,2012
801976,108375,2012
801976,110315,2012
801976,110548,2012
801976,112373,2012
109732,102041,2010
109732,103282,2010
109732,103555,2010
109732,104726,2010
109732,1292673,2010
101302,100564,2010
92187,90155,2010
118123,101031,2010
94950,88400,2010
94950,94570,2010
89661,88533,2010
89661,89420,2010
110513,103369,2010
110513,109027,2010
108573,106127,2010
108573,106740,2010
99231,94711,2010
91601,88861,2010
106994,106150,2010
107686,92542,2010
107686,95880,2010
107686,100293,2010
107686,100564,2010
107686,101836,2010
107686,105662,2010
107686,107014,2010
105341,91573,2010
105341,96296,2010
105341,100010,2010
105341,104439,2010
105341,104603,2010
105341,104710,2010
111752,109508,2010
108089,103145,2010
108089,103651,2010
108089,103889,2010
108089,103943,2010
108089,104881,2010
108089,105635,2010
108089,105802,2010
100513,94546,2010
96594,94726,2010
104803,103523,2010
94053,91861,2010
94053,92807,2010
94053,93846,2010
105711,101764,2010
105711,103470,2010
105711,104474,2010
105711,105511,2010
111302,105382,2010
111302,105911,2010
111302,107957,2010
111302,109070,2010
107002,105382,2010
96740,96486,2010
96740,96700,2010
868382,96405,2013
94287,88621,2010
94287,93328,2010
102200,85696,2010
102200,90093,2010
102200,95205,2010
102200,99495,2010
117901,107999,2010
96310,95029,2010
100397,90876,2010
100397,96805,2010
100397,97557,2010
100397,99006,2010
107452,100694,2010
107452,105228,2010
107452,105383,2010
107452,107453,2010
105195,90600,2010
105195,99883,2010
105195,104253,2010
93112,92076,2010
93112,92743,2010
931125,96405,2013
931125,112484,2013
931125,137748,2013
112200,112076,2010
106613,97833,2010
106613,100786,2010
106613,101616,2010
106613,103451,2010
106613,104551,2010
106613,106043,2010
106613,1292673,2010
91986,90600,2010
97151,92186,2010
97151,93124,2010
97151,96760,2010
107901,88661,2010
107901,92295,2010
107901,93112,2010
107901,96127,2010
107901,98374,2010
107901,100181,2010
107901,102580,2010
107901,103574,2010
107901,105746,2010
107901,106832,2010
107901,107243,2010
107901,107701,2010
2784695,96405,2015
2784695,108323,2015
2784695,118089,2015
2784695,118362,2015
2784695,145908,2015
103411,100801,2010
2620957,88093,2013
2620957,89143,2013
2620957,91359,2013
2620957,92755,2013
2620957,92871,2013
2620957,94291,2013
97501,97350,2010
106243,97720,2010
106243,102041,2010
106243,104550,2010
106243,104551,2010
106243,105455,2010
106243,106043,2010
106243,1292673,2010
101586,88178,2010
104784,101952,2010
104784,103962,2010
104784,104593,2010
105896,91894,2010
105896,96424,2010
92216,89440,2010
104291,100753,2010
104291,103915,2010
104291,104029,2010
103554,88925,2010
103554,94654,2010
103554,102514,2010
111990,105087,2010
111990,105930,2010
111990,108837,2010
112345,86721,2010
112345,106449,2010
110378,101617,2010
110378,109420,2010
101093,100986,2010
97014,88498,2010
97014,91524,2010
97014,95121,2010
97014,96486,2010
101139,93892,2010
101139,100991,2010
103104,102283,2010
1379778,105547,2013
109509,98158,2010
109509,100457,2010
109509,100694,2010
109509,104225,2010
109509,105746,2010
109509,106080,2010
109509,107756,2010
109509,108284,2010
109509,108572,2010
109509,108640,2010
109509,108713,2010
109509,108990,2010
109509,109246,2010
109509,109476,2010
112715,104462,2010
112715,110991,2010
112715,111196,2010
97444,94835,2010
97444,96941,2010
118318,92702,2010
118318,108990,2010
118318,109499,2010
118318,111949,2010
118318,118011,2010
102345,98026,2010
117844,112915,2010
111093,96280,2010
111093,97188,2010
111093,103282,2010
111093,106936,2010
111093,110092,2010
127908,99461,2010
127908,107701,2010
127908,110093,2010
127908,110138,2010
127908,110661,2010
127908,111226,2010
127908,112304,2010
127908,112313,2010
127908,112774,2010
127908,118085,2010
127908,118093,2010
100682,95971,2010
101990,94602,2010
101990,101343,2010
101990,101932,2010
94638,87833,2010
94638,94269,2010
102715,88230,2010
102715,91660,2010
102715,93734,2010
102715,97405,2010
102715,99397,2010
102715,99965,2010
102715,100729,2010
95880,94874,2010
94792,91483,2010
94792,92057,2010
94792,94442,2010
93057,92702,2010
111139,102650,2010
111139,104551,2010
111139,111115,2010
145764,104655,2010
145764,109476,2010
145764,110289,2010
107517,107486,2010
118031,101895,2010
118031,102095,2010
118031,103372,2010
118031,106629,2010
118031,109621,2010
118031,111513,2010
104012,102807,2010
104012,103187,2010
94842,88661,2010
94842,91573,2010
94842,94479,2010
98498,96259,2010
98498,97150,2010
98498,97151,2010
109270,106259,2010
98532,93562,2010
98532,96146,2010
112596,103597,2010
112596,104321,2010
100952,98251,2010
101640,101513,2010
104442,101379,2010
104442,104029,2010
104442,104045,2010
104442,104156,2010
104442,104157,2010
103387,100504,2010
103387,102580,2010
108898,91573,2010
108898,96424,2010
108898,101836,2010
108898,104788,2010
108898,105731,2010
108898,106107,2010
108898,107872,2010
108898,108375,2010
108898,108709,2010
100401,99495,2010
91343,91284,2010
96486,91397,2010
111210,110704,2010
107794,104696,2010
100051,94842,2010
100051,99694,2010
100051,99732,2010
105253,104839,2010
94511,90601,2010
105746,98085,2010
105746,100694,2010
105746,100708,2010
105746,103831,2010
105746,105091,2010
105746,105232,2010
102083,87219,2010
102083,91745,2010
102083,92332,2010
102083,92884,2010
102083,93108,2010
102083,93718,2010
102083,94711,2010
102083,99437,2010
205713,96405,2011
205713,145725,2011
111355,108302,2010
111355,109699,2010
111355,111288,2010
99636,98752,2010
100544,93703,2010
100544,93831,2010
100544,96330,2010
100544,96852,2010
100544,98928,2010
110817,108227,2010
99266,93902,2010
91656,90417,2010
102129,91573,2010
102129,96015,2010
102129,99745,2010
102980,89421,2010
104157,96473,2010
104157,104045,2010
104157,104090,2010
112579,96424,2010
112579,106107,2010
112579,111143,2010
112579,111397,2010
112579,112095,2010
112083,97757,2010
112083,98764,2010
112083,102125,2010
112083,103538,2010
112083,104730,2010
112083,109118,2010
112083,110181,2010
108877,108420,2010
108877,108590,2010
109765,106023,2010
106490,106074,2010
101355,99677,2010
104507,99440,2010
104507,101417,2010
104507,101705,2010
104507,103597,2010
104507,103811,2010
97278,96594,2010
97278,97130,2010
92580,91694,2010
112129,108420,2010
112129,108590,2010
100817,93923,2010
100817,97150,2010
100817,97720,2010
100817,99031,2010
100817,1218943,2010
97782,2516349,2010
103738,103574,2010
96890,96055,2010
101705,89378,2010
101705,91987,2010
101705,101143,2010
109122,100440,2010
109122,101817,2010
109122,102056,2010
109122,104116,2010
109122,104462,2010
109122,107472,2010
109122,2363931,2010
97595,88877,2010
93885,93345,2010
104710,99987,2010
104710,102407,2010
104710,103368,2010
104710,103702,2010
104710,103981,2010
105802,101590,2010
105802,103889,2010
105802,103943,2010
105802,105635,2010
110303,110085,2010
112294,108027,2010
109572,101031,2010
109572,102105,2010
107995,104442,2010
107995,107686,2010
107995,107921,2010
118363,92312,2010
118363,95012,2010
118363,108421,2010
118363,108572,2010
118363,110247,2010
118363,118027,2010
118363,118323,2010
104340,103651,2010
104340,103943,2010
109088,107235,2010
109088,108334,2010
111841,108302,2010
111841,110641,2010
110753,92702,2010
110753,103492,2010
110753,104264,2010
110753,106170,2010
110753,106629,2010
110753,107756,2010
110753,108498,2010
110753,108990,2010
110753,109621,2010
99071,2516349,2010
109821,103369,2010
109821,105287,2010
109821,108421,2010
109821,109461,2010
96384,92685,2010
96384,92810,2010
96384,94819,2010
96384,95662,2010
96384,95792,2010
183479,96405,2011
183479,134723,2011
183479,1087984,2011
91441,91123,2010
100303,90790,2010
100303,92240,2010
100303,1443879,2010
95951,87690,2010
105101,104480,2010
105101,104910,2010
105101,1096161,2010
89972,89898,2010
94643,88093,2010
94643,89440,2010
94643,92216,2010
94643,92755,2010
